x1,y1,z1,x2,y2,z2
-39,-8,40,,,
-39,-8,-40,,,
-39,-7,40,,,
-39,-7,-40,,,
-39,-6,40,,,
-39,-6,-40,,,
-39,-5,40,,,
-39,-5,-40,,,
-39,-4,40,,,
-39,-4,-40,,,
-39,-3,40,,,
-39,-3,-40,,,
-39,-2,40,,,
-39,-2,-40,,,
-39,-1,40,,,
-39,-1,-40,,,
-39,0,40,,,
-39,0,-40,,,
-39,1,40,,,
-39,1,-40,,,
-39,2,40,,,
-39,2,-40,,,
-39,3,40,,,
-39,3,-40,,,
-39,4,40,,,
-39,4,-40,,,
-39,5,40,,,
-39,5,-40,,,
-39,6,40,,,
-39,6,-40,,,
-39,7,40,,,
-39,7,-40,,,
-39,8,40,,,
-39,8,-40,,,
-38,-12,40,,,
-38,-12,-40,,,
-38,-11,40,,,
-38,-11,-40,,,
-38,-10,40,,,
-38,-10,-40,,,
-38,-9,40,,,
-38,-9,-40,,,
-38,-8,40,,,
-38,-8,-40,,,
-38,-7,40,,,
-38,-7,-40,,,
-38,-6,40,,,
-38,-6,-40,,,
-38,-5,40,,,
-38,-5,-40,,,
-38,-4,40,,,
-38,-4,-40,,,
-38,-3,40,,,
-38,-3,-40,,,
-38,-2,40,,,
-38,-2,-40,,,
-38,-1,40,,,
-38,-1,-40,,,
-38,0,40,,,
-38,0,-40,,,
-38,1,40,,,
-38,1,-40,,,
-38,2,40,,,
-38,2,-40,,,
-38,3,40,,,
-38,3,-40,,,
-38,4,40,,,
-38,4,-40,,,
-38,5,40,,,
-38,5,-40,,,
-38,6,40,,,
-38,6,-40,,,
-38,7,40,,,
-38,7,-40,,,
-38,8,40,,,
-38,8,-40,,,
-38,9,40,,,
-38,9,-40,,,
-38,10,40,,,
-38,10,-40,,,
-38,11,40,,,
-38,11,-40,,,
-38,12,40,,,
-38,12,-40,,,
-37,-15,40,,,
-37,-15,-40,,,
-37,-14,40,,,
-37,-14,-40,,,
-37,-13,40,,,
-37,-13,-40,,,
-37,-12,40,,,
-37,-12,-40,,,
-37,-11,40,,,
-37,-11,-40,,,
-37,-10,40,,,
-37,-10,-40,,,
-37,-9,40,,,
-37,-9,-40,,,
-37,-8,40,,,
-37,-8,-40,,,
-37,-7,40,,,
-37,-7,-40,,,
-37,-6,40,,,
-37,-6,-40,,,
-37,-5,40,,,
-37,-5,-40,,,
-37,-4,40,,,
-37,-4,-40,,,
-37,-3,40,,,
-37,-3,-40,,,
-37,-2,40,,,
-37,-2,-40,,,
-37,-1,40,,,
-37,-1,-40,,,
-37,0,40,,,
-37,0,-40,,,
-37,1,40,,,
-37,1,-40,,,
-37,2,40,,,
-37,2,-40,,,
-37,3,40,,,
-37,3,-40,,,
-37,4,40,,,
-37,4,-40,,,
-37,5,40,,,
-37,5,-40,,,
-37,6,40,,,
-37,6,-40,,,
-37,7,40,,,
-37,7,-40,,,
-37,8,40,,,
-37,8,-40,,,
-37,9,40,,,
-37,9,-40,,,
-37,10,40,,,
-37,10,-40,,,
-37,11,40,,,
-37,11,-40,,,
-37,12,40,,,
-37,12,-40,,,
-37,13,40,,,
-37,13,-40,,,
-37,14,40,,,
-37,14,-40,,,
-37,15,40,,,
-37,15,-40,,,
-36,-17,40,,,
-36,-17,-40,,,
-36,-16,40,,,
-36,-16,-40,,,
-36,-15,40,,,
-36,-15,-40,,,
-36,-14,40,,,
-36,-14,-40,,,
-36,-13,40,,,
-36,-13,-40,,,
-36,-12,40,,,
-36,-12,-40,,,
-36,-11,40,,,
-36,-11,-40,,,
-36,-10,40,,,
-36,-10,-40,,,
-36,-9,40,,,
-36,-9,-40,,,
-36,-8,40,,,
-36,-8,-40,,,
-36,-7,40,,,
-36,-7,-40,,,
-36,-6,40,,,
-36,-6,-40,,,
-36,-5,40,,,
-36,-5,-40,,,
-36,-4,40,,,
-36,-4,-40,,,
-36,-3,40,,,
-36,-3,-40,,,
-36,-2,40,,,
-36,-2,-40,,,
-36,-1,40,,,
-36,-1,-40,,,
-36,0,40,,,
-36,0,-40,,,
-36,1,40,,,
-36,1,-40,,,
-36,2,40,,,
-36,2,-40,,,
-36,3,40,,,
-36,3,-40,,,
-36,4,40,,,
-36,4,-40,,,
-36,5,40,,,
-36,5,-40,,,
-36,6,40,,,
-36,6,-40,,,
-36,7,40,,,
-36,7,-40,,,
-36,8,40,,,
-36,8,-40,,,
-36,9,40,,,
-36,9,-40,,,
-36,10,40,,,
-36,10,-40,,,
-36,11,40,,,
-36,11,-40,,,
-36,12,40,,,
-36,12,-40,,,
-36,13,40,,,
-36,13,-40,,,
-36,14,40,,,
-36,14,-40,,,
-36,15,40,,,
-36,15,-40,,,
-36,16,40,,,
-36,16,-40,,,
-36,17,40,,,
-36,17,-40,,,
-35,-19,40,,,
-35,-19,-40,,,
-35,-18,40,,,
-35,-18,-40,,,
-35,-17,40,,,
-35,-17,-40,,,
-35,-16,40,,,
-35,-16,-40,,,
-35,-15,40,,,
-35,-15,-40,,,
-35,-14,40,,,
-35,-14,-40,,,
-35,-13,40,,,
-35,-13,-40,,,
-35,-12,40,,,
-35,-12,-40,,,
-35,-11,40,,,
-35,-11,-40,,,
-35,-10,40,,,
-35,-10,-40,,,
-35,-9,40,,,
-35,-9,-40,,,
-35,-8,40,,,
-35,-8,-40,,,
-35,-7,40,,,
-35,-7,-40,,,
-35,-6,40,,,
-35,-6,-40,,,
-35,-5,40,,,
-35,-5,-40,,,
-35,-4,40,,,
-35,-4,-40,,,
-35,-3,40,,,
-35,-3,-40,,,
-35,-2,40,,,
-35,-2,-40,,,
-35,-1,40,,,
-35,-1,-40,,,
-35,0,40,,,
-35,0,-40,,,
-35,1,40,,,
-35,1,-40,,,
-35,2,40,,,
-35,2,-40,,,
-35,3,40,,,
-35,3,-40,,,
